gene	name	location	somatic	germline	tumour.type.somatic	tumour.type.germline	syndrome	tissue.type	inheritance	cancer.role	impact	chr	Mut.class	nseqs	seqlength	dN	dS	dNdS	lhM1	lhM2	lrtM1M2	padjM1M2	lhM8a	lhM8	lrtM8aM8	padjM8aM8	PSS_M2	PSS_M8	PS
CRTC3	CREB regulated transcription coactivator 3	15:90530072-90642140	yes	no	salivary gland mucoepidermoid			E	Dom	fusion	T	15	somatic	25	620	0.8779	5.0478	0.17393	-14691.615708	-14691.615708	1	1	-14620.743277	-14620.177906	0.287617124294004	1	0	0	No
CSF3R	colony stimulating factor 3 receptor (granulocyte)	1:36466357-36479496	yes	no	"aCML, CNL,  leukaemia lymphoma and MDS associated with severe congenital neutropenia, CMML, de novo AML, MDS"			L	Dom	oncogene	"Mis, N"	1	somatic	31	842	2.344	8.4276	0.27813	-31136.629239	-31136.629239	1	1	-30948.08018	-30938.345404	1.02216125700272e-05	0.000159530167610781	3	3	Yes
CTCF	CCCTC-binding factor	16:67610833-67637872	yes	no	"endometrial, breast, head and neck cancer"			E	Dom	TSG	"Mis, N"	16	somatic	30	728	0.1188	3.709	0.03202	-10711.863657	-10711.863658	1	1	-10678.636335	-10678.636034	0.980425317134244	1	0	0	No
CTNNB1	"catenin (cadherin-associated protein), beta 1"	3:41224069-41239342	yes	no	"colorectal, ovarian,  hepatoblastoma, pleomorphic salivary gland adenoma, other tumour types"			E,M,O	Dom	"oncogene, fusion"	"Mis, O, T"	3	somatic	28	782	0.011	4.7146	0.00233	-12488.821184	-12488.821174	0.99643176370689	1	-12489.045771	-12489.193567	1	1	0	0	No
CXCR4	C-X-C motif chemokine receptor 4	2:136114869-136115939	yes	yes	WM			L	Dom	oncogene	"Mis, N, F"	2	som&germ	29	353	0.5075	8.3248	0.06096	-8202.717228	-8194.310422	4.12364516677588e-05	0.00046205972766181	-8116.872571	-8113.353407	0.00797834791119756	0.0540792276334234	2	4	Yes
CYLD	familial cylindromatosis gene	16:50749699-50796508	yes	yes	cylindroma	cylindroma	familial cylindromatosis	E	Rec	TSG	"Mis, N, F, S"	16	som&germ	20	957	0.2184	4.5456	0.04805	-16272.603623	-16272.603778	1	1	-16187.740944	-16187.740944	1	1	0	1	No
DCTN1	dynactin 1	2:74361499-74380037	yes	no	"inflammatory myofibroblastic tumour, Spitzoid tumour"			M	Dom	fusion	T	2	somatic	22	1282	0.1977	4.3171	0.04579	-20720.237881	-20720.237881	1	1	-20650.160116	-20650.160116	1	1	0	1	No
DDB2	damage-specific DNA binding protein 2	11:47215137-47238849	no	yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (E)	E	Rec	"oncogene, TSG"	"Mis, N"	11	germinal	16	428	0.5255	1.7633	0.29805	-6301.194821	-6301.194821	1	1	-6300.61454	-6292.751838	7.32339765205925e-05	0.00088897910387497	1	2	Yes
DDIT3	DNA-damage-inducible transcript 3	12:57516809-57517406	yes	no	liposarcoma			M	Dom	"oncogene, fusion"	T	12	somatic	29	169	0.5625	2.9598	0.19005	-3538.362048	-3538.362048	1	1	-3531.689369	-3526.285088	0.00101031747492264	0.0090103823783917	1	1	Yes
DDR2	discoidin domain receptor 2	1:162719064-162780246	yes	no	"squamous cell carcinoma, NSCLC"			E	Dom	oncogene	"Mis, N"	1	somatic	30	856	0.2964	6.5788	0.04505	-17137.518341	-17137.518341	1	1	-17016.027955	-17016.027955	1	1	0	1	No
DDX10	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	11:108665154-108940423	yes	no	AML*			L	Dom	"TSG, fusion"	T	11	somatic	27	877	0.8981	5.4131	0.16591	-20516.898413	-20513.130817	0.00605052891094449	0.0472157345371918	-20385.415497	-20382.651165	0.0187073844524963	0.110474689266769	0	7	No
DDX3X	"DEAD-box helicase 3, X-linked"	X:41334253-41347719	yes	no	"CLL, medulloblastoma"			L,O		TSG	"Mis, N, F"	X	somatic	25	663	0.3127	4.1302	0.07572	-11718.093168	-11715.564573	0.0245239701006801	0.184775429896503	-11698.365077	-11698.186463	0.550049778279502	1	1	1	No
DDX5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	17:64499923-64506119	yes	no	prostate			E	Dom	"oncogene, fusion"	T	17	somatic	26	615	0.0299	2.4353	0.01228	-6973.351562	-6973.442692	1	1	-6970.596213	-6975.746082	1	1	0	0	No
DDX6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	11:118754712-118786218	yes	no	B-NHL			L	Dom	"oncogene, fusion"	T	11	somatic	30	484	0.1163	2.0419	0.05696	-5848.546945	-5848.546945	1	1	-5823.508954	-5823.509217	1	1	0	0	No
DEK	DEK oncogene (DNA binding)	6:18225719-18263987	yes	no	AML			L	Dom	"oncogene, fusion"	T	6	somatic	30	377	0.5694	5.5527	0.10254	-8121.238588	-8121.238588	1	1	-8083.506272	-8079.99995	0.00809360659470315	0.0540792276334234	0	3	No
DICER1	"dicer 1, ribonuclease type III"	14:95090498-95133458	yes	yes	"sex cord-stromal tumour, TGCT, embryonal rhabdomyosarcoma, pleuropulmonary blastoma, pituitary blastoma, Wilms tumour, thyroid cancer, other tumour types"	pleuropulmonary blastoma	familial pleuropulmonary blastoma or DICER1 syndrome	E,M,O	Rec	TSG	"Mis, F, N"	14	som&germ	30	1924	0.412	4.7401	0.08691	-40806.792902	-40797.634626	1.87074693596134e-05	0.000215135897635554	-40615.223347	-40615.223347	1	1	3	9	Yes
DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	19:14515940-14518349	yes	no	fibrolamellar hepatocellular carcinoma			E	Dom	fusion	T	19	somatic	24	341	0.4264	6.9751	0.06113	-6738.123662	-6738.123662	1	1	-6686.070793	-6686.070793	1	1	0	0	No
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	2:25234279-25313984	yes	no	AML			L	Dom	TSG	"Mis, F, N, S"	2	somatic	24	913	0.203	4.032	0.05034	-13602.533756	-13602.533884	1	1	-13487.227429	-13487.227573	1	1	0	1	No
DROSHA	drosha ribonuclease III	5:31401432-31529059	yes	no	"Wilms tumour, NSCLC, bladder carcinoma"			E,O		TSG	"A, Mis, N, F"	5	somatic	25	1375	0.317	5.0176	0.06318	-25740.867164	-25740.867433	1	1	-25611.462677	-25611.462677	1	1	0	6	No
EBF1	early B-cell factor 1	5:158699111-159099478	yes	no	lipoma			M	Dom	"TSG, fusion"	T	5	somatic	24	592	0.1513	3.7739	0.04009	-8431.050242	-8431.050274	1	1	-8359.984957	-8359.982423	0.943246630050659	1	0	0	No
EGFR	"epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)"	7:55019278-55205617	yes	yes	"glioma, NSCLC"	NSCLC	familial lung cancer	E,O	Dom	oncogene	"A, O, Mis"	7	som&germ	23	1210	0.7132	7.6201	0.09359	-30461.432048	-30451.89965	1.26354300953313e-05	0.000157762370047422	-30168.813054	-30167.294522	0.0813829875448256	0.382412532871923	3	5	Yes
EIF3E	"eukaryotic translation initiation factor 3, subunit E"	8:108201885-108248702	yes	no	colorectal			E	Dom	"TSG, fusion"	T	8	somatic	26	446	0.0849	4.2783	0.01984	-6492.964963	-6492.96195	0.938124513880115	1	-6491.741396	-6491.741396	1	1	0	0	No
EIF4A2	"eukaryotic translation initiation factor 4A, isoform 2"	3:186783611-186789269	yes	no	NHL			L	Dom	fusion	T	3	somatic	25	408	0.1687	2.6034	0.0648	-5235.475377	-5235.475377	1	1	-5232.756135	-5232.756135	1	1	0	0	No
ELF4	E74-like factor 4 (ets domain transcription factor)	X:130066721-130081330	yes	no	AML			L	Dom	"oncogene, TSG, fusion"	T	X	somatic	26	664	0.8592	3.4237	0.25095	-14924.069104	-14924.069105	1	1	-14894.537557	-14894.492231	0.763349903325242	1	0	1	No
ELK4	"ELK4, ETS-domain protein (SRF accessory protein 1)"	1:205616546-205623882	yes	no	prostate			E	Dom	"oncogene, fusion"	T	1	somatic	28	433	1.677	10.6664	0.15723	-11372.080872	-11372.080872	1	1	-11296.032545	-11296.004504	0.812799240026026	1	0	1	No
ELL	ELL gene (11-19 lysine-rich leukemia gene)	19:18444752-18522055	yes	no	AL			L	Dom	"TSG, fusion"	T	19	somatic	24	619	0.9261	9.5425	0.09705	-15856.400085	-15856.400088	1	1	-15682.653349	-15682.653349	1	1	0	1	No
EML4	echinoderm microtubule associated protein like 4	2:42169613-42330208	yes	no	NSCLC			E	Dom	fusion	T	2	somatic	23	982	0.6617	4.6099	0.14353	-18535.53833	-18527.753976	7.95604726775423e-05	0.000827807775240142	-18476.347533	-18474.719667	0.0711741518244648	0.341792355464738	0	4	Yes
EP300	300 kd E1A-Binding protein gene	22:41093005-41178956	yes	no	"colorectal, breast, pancreatic, AML, ALL, DLBCL"			L,E	Rec	"TSG, fusion"	"T,  N, F, Mis, O"	22	somatic	27	2421	0.361	4.0979	0.0881	-46395.309966	-46395.325111	1	1	-46177.867234	-46177.867237	1	1	0	0	No
EPAS1	endothelial PAS domain protein 1	2:46297912-46384660	yes	no	"paraganglioma, pheochromocytoma, central nervous system hemangioblastomas"			E,M	Dom	"oncogene, TSG"	Mis	2	somatic	27	870	0.7081	6.6763	0.10606	-20645.39335	-20645.393529	1	1	-20439.574164	-20439.574165	1	1	0	0	No
EPS15	epidermal growth factor receptor pathway substrate 15 (AF1p)	1:51356700-51519231	yes	no	ALL			L	Dom	"TSG, fusion"	T	1	somatic	29	901	0.986	4.771	0.20667	-20129.102154	-20129.102154	1	1	-20048.226614	-20030.004334	1.57070900730361e-09	4.5759989079445e-08	5	9	Yes
ERBB2	"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)"	17:39700239-39728044	yes	no	"breast, ovarian, other tumour types, NSCLC, gastric"			E	Dom	"oncogene, fusion"	"A, Mis, O"	17	somatic	26	1256	0.6108	5.6977	0.10721	-28651.491183	-28651.491185	1	1	-28449.747325	-28449.747325	1	1	0	3	No
ERBB3	erb-b2 receptor tyrosine kinase 3	12:56080301-56102055	yes	no	"colon, gastric, head and neck, bladder, skin"			E	Dom	oncogene	"Mis, N"	12	somatic	24	1342	0.4395	4.0685	0.10803	-25548.995305	-25548.995308	1	1	-25421.532982	-25421.347773	0.54277651046426	1	0	5	No
ERBB4	erb-b2 receptor tyrosine kinase 4	2:211383615-212538530	yes	yes	"melanoma, gastric, NSCLC"			E	Dom	"oncogene, TSG"	"Mis, N"	2	som&germ	25	1309	0.2345	5.1493	0.04554	-22393.683661	-22393.683737	1	1	-22287.091187	-22287.091187	1	1	0	0	No
ERC1	ELKS/RAB6-interacting/CAST family member 1	12:1027904-1490230	yes	no	"papillary thyroid, Spitzoid tumour"			E	Dom	fusion	T	12	somatic	26	1121	0.2432	6.1911	0.03929	-20551.434078	-20551.434144	1	1	-20436.787327	-20436.787327	1	1	0	1	No
ERCC2	"excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)"	19:45351629-45370237	no	yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (D)	E	Rec	TSG	"Mis, N, F, S"	19	germinal	24	761	0.3096	10.2333	0.03026	-14794.55711	-14794.557264	1	1	-14699.317316	-14699.317315	0.998871621018033	1	0	0	No
ERCC3	"excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)"	2:127257596-127294081	no	yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (B)	E	Rec	TSG	"Mis, S"	2	germinal	26	783	0.2093	5.8556	0.03575	-14745.171815	-14745.172434	1	1	-14671.569556	-14671.638034	1	1	0	0	No
ERCC4	"excision repair cross-complementing rodent repair deficiency, complementation group 4"	16:13920166-13948347	no	yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (F)	E	Rec	TSG	"Mis, N, F"	16	germinal	28	917	0.8204	6.9919	0.11734	-24993.858444	-24993.858698	1	1	-24811.168715	-24811.168715	1	1	0	2	No
ERCC5	"excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))"	13:102846267-102875903	no	yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (G)	E	Rec	TSG	"Mis, N, F"	13	germinal	22	1186	1.9297	6.0072	0.32123	-36561.188544	-36540.91163	1.91273441529916e-10	5.57243292990487e-09	-36397.945564	-36384.869849	3.15663253203091e-07	6.27022007498867e-06	3	1	Yes
ESR1	estrogen receptor 1	6:151807913-152098966	yes	no	breast			E	Dom	"oncogene, TSG, fusion"	Mis	6	somatic	22	596	0.5363	5.2647	0.10186	-12257.394981	-12257.394981	1	1	-12148.559513	-12148.559513	1	1	0	1	No
ETNK1	ethanolamine kinase 1	12:22625164-22684954	yes	no	"aCML, CMML, SM-AHD, HES"			L	Dom	TSG	Mis	12	somatic	24	442	0.6139	3.9083	0.15708	-7785.637945	-7785.637945	1	1	-7740.444152	-7737.572346	0.0165487269035398	0.0990656665321493	0	0	No
ETV4	"ets variant gene 4 (E1A enhancer binding protein, E1AF)"	17:43528519-43545617	yes	no	"Ewing sarcoma, prostate carcinoma"			M,E	Dom	"oncogene, fusion"	T	17	somatic	27	486	0.4542	3.7172	0.12219	-9066.336684	-9066.336684	1	1	-9020.350181	-9019.945007	0.368017384394852	1	0	1	No
ETV5	ets variant gene 5	3:186048639-186105868	yes	no	prostate			E	Dom	"oncogene, fusion"	T	3	somatic	29	511	0.4262	5.7275	0.07441	-9771.092891	-9771.092881	0.99643176370689	1	-9696.82432	-9696.811536	0.872959873149781	1	0	0	No
ETV6	ets variant gene 6 (TEL oncogene)	12:11650128-11891046	yes	no	"congenital fibrosarcoma, multiple different leukaemia and lymphoma tumour types including ALL, secretory breast, MDS"			L,E,M	Dom	"TSG, fusion"	T	12	somatic	26	453	0.2826	4.6034	0.06139	-7285.270867	-7285.270867	1	1	-7256.341997	-7256.341997	1	1	0	0	No
EWSR1	Ewing sarcoma breakpoint region 1 (EWS)	22:29268337-29300161	yes	no	"Ewing sarcoma, desmoplastic small round cell tumour , ALL, clear cell sarcoma, sarcoma, myoepithelioma, mesothelioma"			L,M,E	Dom	"oncogene, fusion"	T	22	somatic	20	662	0.3849	3.5985	0.10697	-9310.254324	-9310.254324	1	1	-9303.519206	-9303.519206	1	1	0	0	No
EXT1	multiple exostoses type 1 gene	8:117799712-118111046	no	yes		"exostoses, osteosarcoma"	multiple exostoses type 1	M	Rec	"TSG, fusion"	"Mis, N, F, S"	8	germinal	23	747	0.0508	1.7096	0.0297	-7286.493549	-7286.493548	0.99887162153116	1	-7280.525097	-7280.52509	0.99701459638172	1	0	0	No
EXT2	multiple exostoses type 2 gene	11:44107713-44244287	no	yes		"exostoses, osteosarcoma"	multiple exostoses type 2	M	Rec	TSG	"Mis, N, F, S"	11	germinal	28	727	0.4275	6.9238	0.06175	-16865.144147	-16865.144189	1	1	-16722.883617	-16722.883617	1	1	0	0	No
EZH2	enhancer of zeste homolog 2	7:148807646-148847298	yes	no	DLBCL			L	Dom	"oncogene, TSG"	Mis	7	somatic	28	747	0.1177	5.5899	0.02106	-13217.236597	-13217.2366	1	1	-13189.085399	-13189.085398	0.998871621018033	1	0	0	No
FAM46C	"family with sequence similarity 46, member C"	1:117622869-117624044	yes	no	MM			L	Rec	TSG	"Mis, F, O"	1	somatic	30	392	0.4159	13.1034	0.03174	-8512.20502	-8512.205021	1	1	-8385.263259	-8385.263259	1	1	0	0	No
FANCA	"Fanconi anemia, complementation group A"	16:89738601-89816615	no	yes		"AML, leukaemia"	Fanconi anaemia A	L	Rec	TSG	"D, Mis, N, F, S"	16	germinal	29	1457	2.8679	7.9548	0.36053	-62326.620065	-62326.620065	1	1	-62025.377433	-62011.821999	1.92114859021153e-07	3.99781873296399e-06	0	7	Yes
FANCC	"Fanconi anemia, complementation group C"	9:95101707-95249291	no	yes		"AML, leukaemia"	Fanconi anaemia C	L	Rec	TSG	"D, Mis, N, F, S"	9	germinal	26	561	1.831	4.1131	0.44516	-16734.54425	-16725.050263	1.31544933107408e-05	0.000159173903849899	-16718.59985	-16709.471214	1.92987768299346e-05	0.000263548921083795	1	11	Yes
FANCD2	"Fanconi anemia, complementation group D2"	3:10028658-10098950	no	yes		"AML, leukaemia"	Fanconi anaemia D2	L	Rec	TSG	"D, Mis, N, F"	3	germinal	29	1452	1.5479	4.4438	0.34833	-44615.545705	-44585.76555	1.18793863634892e-14	4.71935621894979e-13	-44521.622361	-44495.498022	4.88942220044919e-13	2.1366775015963e-11	7	8	Yes
FANCE	"Fanconi anemia, complementation group E"	6:35452546-35466345	no	yes		"AML, leukaemia"	Fanconi anaemia E	L	Rec	TSG	"N, F, S"	6	germinal	23	538	2.3695	6.0258	0.39323	-15104.059159	-15088.198724	1.77999106565352e-08	3.70407664614566e-07	-15083.706949	-15071.122344	5.2513940895782e-07	9.56191340477364e-06	4	9	Yes
FANCG	"Fanconi anemia, complementation group G"	9:35074108-35079524	no	yes		"AML, leukaemia"	Fanconi anaemia G	L	Rec	TSG	"Mis, N, F, S"	9	germinal	26	627	1.7859	3.572	0.49997	-17460.832157	-17443.269658	3.09205905324461e-09	8.44518628917434e-08	-17449.77168	-17433.561092	1.24126462441865e-08	3.39020400544343e-07	4	7	Yes
FAS	Fas cell surface death receptor	10:88990877-89014450	yes	no	"TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related"			L,E,O	Rec	TSG	Mis	10	somatic	21	334	3.1944	5.3123	0.60132	-12934.75524	-12853.516704	0	0	-12905.039288	-12845.486693	0	0	15	15	Yes
FAT4	FAT atypical cadherin 4	4:125316412-125491768	yes	no	"lymphoma, pancreatic, head and neck, melanoma, hepatocellular carcinoma"			E,L		TSG	"Mis, N"	4	somatic	25	4984	0.338	4.9665	0.06805	-98841.093731	-98841.096353	1	1	-98254.188729	-98254.188729	1	1	0	4	No
FCRL4	Fc receptor-like 4	1:157575524-157597944	yes	no	B-NHL			L	Dom	"oncogene, fusion"	T	1	somatic	20	516	2.5094	4.1788	0.6005	-15238.23957	-15202.274522	0	0	-15227.328734	-15193.994291	3.33066907387547e-16	2.07928912183369e-14	8	9	Yes
FES	"FES proto-oncogene, tyrosine kinase"	15:90885046-90895558	yes	no	"HNSCC, ovarian carcinoma"			E		"oncogene, TSG"	"Mis, F"	15	somatic	23	823	0.4065	7.5282	0.054	-16016.105364	-16016.105702	1	1	-15851.957777	-15851.957777	1	1	0	0	No
FEV	FEV protein - (HSRNAFEV)	2:218981667-218985075	yes	no	Ewing sarcoma			M	Dom	"oncogene, fusion"	T	2	somatic	20	238	0.2803	7.3311	0.03823	-3587.085892	-3587.085892	1	1	-3550.259087	-3550.259087	1	1	0	0	No
FGFR1	fibroblast growth factor receptor 1	8:38413628-38457446	yes	no	"MPN, NHL, salivary adenoma"			L	Dom	"oncogene, fusion"	T	8	somatic	26	823	0.148	5.7473	0.02575	-13861.125091	-13861.125777	1	1	-13766.309071	-13766.31328	1	1	0	0	No
FGFR1OP	FGFR1 oncogene partner (FOP)	6:166999414-167039979	yes	no	"MPN, NHL"			L	Dom	fusion	T	6	somatic	21	400	1.0207	5.0801	0.20091	-9633.341707	-9633.341707	1	1	-9581.908878	-9581.883148	0.820541963780856	1	0	0	No
FGFR3	fibroblast growth factor receptor 3	4:1793935-1807262	yes	no	"bladder, MM, T-cell lymphoma"			L,E	Dom	"oncogene, fusion"	"Mis, T"	4	somatic	17	803	0.4637	9.4918	0.04885	-15345.310557	-15345.310557	1	1	-15113.091897	-15113.091897	1	1	0	0	No
FGFR4	fibroblast growth factor receptor 4	5:177089603-177097676	yes	no	rhabdomyosarcoma			M	Dom	oncogene	Mis	5	somatic	27	802	0.9368	10.3163	0.0908	-20890.832209	-20890.832209	1	1	-20723.940578	-20723.940578	1	1	1	5	No
FH	fumarate hydratase	1:241497828-241519722	no	yes		"leiomyomatosis, renal"	hereditary leiomyomatosis and renal cell cancer	E,M	Rec	TSG	"Mis, N, F"	1	germinal	29	509	0.5672	6.3456	0.08939	-12400.12682	-12399.718309	0.36605230423785	1	-12338.29469	-12338.29469	1	1	0	4	No
FHIT	fragile histidine triad gene	3:59752226-60536962	yes	no	pleomorphic salivary gland adenoma			E	Dom	"TSG, fusion"	T	3	somatic	22	150	0.9186	6.531	0.14065	-3318.491336	-3318.491336	1	1	-3285.088116	-3285.088116	1	1	0	0	No
FIP1L1	FIP1 like 1 (S. cerevisiae)	4:53377840-53459450	yes	no	idiopathic hypereosinophilic syndrome			L	Dom	fusion	T	4	somatic	25	604	0.3166	4.8978	0.06464	-10459.540973	-10459.541041	1	1	-10389.55272	-10389.557431	1	1	0	0	No
FLCN	folliculin	17:17213655-17228137	no	yes		"renal, fibrofolliculomas, trichodiscomas"	Birt-Hogg-Dube syndrome	E,M	Rec	TSG	"Mis. N, F"	17	germinal	28	580	0.4242	9.7189	0.04364	-13940.863864	-13940.863864	1	1	-13839.772664	-13839.772664	1	1	0	0	No
FLI1	Friend leukemia virus integration 1	11:128694259-128810988	yes	no	Ewing sarcoma			M	Dom	"oncogene, fusion"	T	11	somatic	24	453	0.4076	6.0086	0.06784	-8822.154594	-8822.154795	1	1	-8761.808593	-8761.808593	1	1	0	0	No
FLT3	fms-related tyrosine kinase 3	13:28004052-28100510	yes	no	"AML, ALL"			L	Dom	oncogene	"Mis, O"	13	somatic	23	994	0.874	6.0671	0.14405	-24057.779565	-24019.49633	0	0	-23860.906884	-23846.585277	8.70183999301943e-08	1.90135203847475e-06	5	5	Yes
FLT4	fms-related tyrosine kinase 4	5:180608281-180649545	yes	no	soft tissue sarcoma			M	Dom	oncogene	A	5	somatic	24	1364	0.7263	9.0912	0.07989	-32566.304115	-32566.304136	1	1	-32220.160401	-32220.160401	1	1	0	1	No
FOXA1	forkhead box A1	14:37591365-37594972	yes	no	"breast, prostate"			E	Dom	oncogene	"Mis, F"	14	somatic	22	471	0.2816	6.2277	0.04522	-7864.008965	-7864.008966	1	1	-7798.967737	-7798.967737	1	1	0	0	No
FOXO1	forkhead box O1	13:40555680-40666212	yes	no	alveolar rhabdomyosarcoma			M	Dom	"oncogene, TSG, fusion"	T	13	somatic	20	651	0.2696	3.193	0.08445	-9161.695255	-9161.695255	1	1	-9118.14469	-9118.14469	1	1	0	0	No
FOXO3	forkhead box O3	6:108561209-108664855	yes	no	AL			L	Dom	"oncogene, TSG, fusion"	T	6	somatic	25	673	0.2449	4.4099	0.05554	-11104.487116	-11104.487244	1	1	-11036.595897	-11036.595897	1	1	0	0	No
FOXO4	forkhead box O4	X:71096529-71102084	yes	no	"AL, soft tissue sarcoma"			L,M	Dom	"oncogene, TSG, fusion"	T	X	somatic	26	507	0.6729	2.9354	0.22924	-9777.790881	-9777.790881	1	1	-9766.639923	-9766.449572	0.537227777116389	1	0	0	No
FOXP1	forkhead box P1	3:70959247-71198381	yes	no	ALL			L	Dom	"oncogene, fusion"	T	3	somatic	25	678	0.2092	3.2684	0.06402	-10786.86263	-10786.862836	1	1	-10746.458332	-10746.45759	0.96927091652923	1	0	2	No
FSTL3	follistatin-like 3 (secreted glycoprotein)	19:676425-681709	yes	no	B-CLL			L	Dom	"oncogene, fusion"	T	19	somatic	22	263	1.1979	12.6956	0.09435	-6868.77131	-6868.77131	1	1	-6790.557341	-6788.615147	0.0487370220387942	0.253548555130393	0	1	No
FUS	"fusion, derived from t(12;16) malignant liposarcoma"	16:31180215-31191438	yes	no	"liposarcoma, AML, Ewing sarcoma, angiomatoid fibrous histiocytoma, fibromyxoid sarcoma"			M,L	Dom	"TSG, fusion"	T	16	somatic	27	519	0.6124	3.1378	0.19517	-10732.130271	-10732.130271	1	1	-10718.635873	-10718.175871	0.337473921999235	1	0	0	No
GATA1	GATA binding protein 1 (globin transcription factor 1)	X:48791110-48794164	yes	no	megakaryoblastic leukaemia of Downs syndrome			L	Dom	"oncogene, TSG"	"Mis, F"	X	somatic	26	414	0.8437	5.6987	0.14805	-9763.311439	-9763.31144	1	1	-9733.083291	-9733.370536	1	1	0	0	No
GATA2	GATA binding protein 2	3:128481019-128487031	yes	no	AML (CML blast transformation)			L	Dom	oncogene	Mis	3	somatic	27	481	0.2081	6.5584	0.03173	-8890.508176	-8890.642874	1	1	-8848.894794	-8848.895309	1	1	0	0	No
GATA3	GATA binding protein 3	10:8055656-8074023	yes	no	breast			E	Rec	"oncogene, TSG"	"F, N, S"	10	somatic	30	445	0.2464	9.5224	0.02587	-9110.105388	-9110.105398	1	1	-9032.951244	-9032.951244	1	1	0	0	No
GNAQ	"guanine nucleotide binding protein (G protein), q polypeptide"	9:77721323-78031235	yes	no	"uveal melanoma, primary central nervous system melanocytic neoplasms"			E,O	Dom	oncogene	Mis	9	somatic	25	360	0.0564	2.9751	0.01896	-4340.856136	-4340.856167	1	1	-4337.931887	-4337.931887	1	1	0	0	No
GOLGA5	"golgi autoantigen, golgin subfamily a, 5  (PTC5)"	14:92797439-92839447	yes	no	"papillary thyroid, Spitzoid tumour"			E	Dom	fusion	T	14	somatic	27	733	0.8056	4.7583	0.1693	-17719.780982	-17719.784878	1	1	-17655.288517	-17654.401109	0.182787182406025	0.739611099179934	0	4	No
GOPC	golgi associated PDZ and coiled-coil motif containing	6:117563254-117602288	yes	no	"glioblastoma, cholangiocarcinoma, borderline ovarian"			E,O	Dom	fusion	T	6	somatic	24	464	0.2642	4.5054	0.05864	-8105.502619	-8105.502863	1	1	-8064.48718	-8064.48718	1	1	0	0	No
GPC3	glypican 3	X:133536124-133985449	no	yes		Wilms tumour	Simpson-Golabi-Behmel syndrome	O	Rec/X	"oncogene, TSG"	"D, Mis, N, F, S"	X	germinal	25	581	0.5935	5.0395	0.11777	-11153.897715	-11153.897715	1	1	-11123.462456	-11123.462456	1	1	0	0	No
GPHN	gephyrin (GPH)	14:66508529-67180938	yes	no	AL			L	Dom	fusion	T	14	somatic	22	772	0.1568	2.5819	0.06071	-8865.446037	-8865.446037	1	1	-8827.126029	-8826.802376	0.42107750466753	1	0	0	No
GRIN2A	"glutamate receptor, ionotropic, N-methyl D-aspartate 2A"	16:9763149-10180411	yes	no	"melanoma, colorectal carcinoma, gastric carcinoma, lung carcinoma"			E	Rec	TSG	"Mis, N, F, O"	16	somatic	25	1465	0.3176	7.1826	0.04421	-27946.648078	-27946.648577	1	1	-27749.050151	-27749.050151	1	1	0	0	No
HERPUD1	"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1"	16:56932245-56943290	yes	no	prostate			E	Dom	fusion	T	16	somatic	29	392	0.8288	4.7331	0.17511	-9671.715743	-9671.715743	1	1	-9615.556147	-9615.552072	0.928066818396343	1	0	1	No
HEY1	hairy/enhancer-of-split related with YRPW motif 1	8:79765188-79767663	yes	no	mesenchymal chondrosarcoma			M	Dom	"oncogene, fusion"	T	8	somatic	29	305	0.5738	6.6676	0.08606	-6807.623281	-6807.623281	1	1	-6769.303798	-6769.303798	1	1	0	0	No
HIF1A	hypoxia inducible factor 1 alpha subunit	14:61695805-61747085	yes	no	"endometrioid carcinoma, glioblastoma, colorectal, renal, lung, pancreatic"			E,O	Dom	oncogene	"Mis, F, N"	14	somatic	23	824	0.4526	4.0851	0.11079	-14786.465203	-14786.465204	1	1	-14730.580691	-14730.466947	0.633392726632364	1	0	3	No
HIP1	huntingtin interacting protein 1	7:75538172-75738920	yes	no	"CMML, NSCLC"			L,E	Dom	"oncogene, fusion"	T	7	somatic	27	1038	0.9257	7.6171	0.12153	-28460.804443	-28460.804477	1	1	-28205.50151	-28205.50151	1	1	0	1	No
